2.49,0.73,28.51,0.14
32.48,2.59,28.51,0.14
57.45,5.54,28.5,0.13
76.12,9.92,28.5,0.27
94.78,15.03,28.5,0.33
109.69,20.14,28.5,0.54
124.58,25.97,28.5,0.68
139.48,31.07,28.49,0.81
161.79,41.27,28.51,1.08
184.01,55.1,28.5,1.56
213.64,73.29,28.52,2.46
254.5,92.96,28.45,4.13
302.94,109.73,28.38,6.72
360.05,130.51,28.2,10.71
419.68,150.56,27.95,15.41
488,173.9,27.34,20.25
558.82,197.24,26.72,25.31
630.89,220.59,25.93,30.78
707.96,244.3,24.96,36.46
790.03,268.02,23.71,41.73
869.66,289.2,22.44,47.42
951.81,309.66,20.96,52.82
1032.73,329.03,19.46,58.16
1113.7,346.21,17.87,62.94
1188.5,359.4,16.25,67.86
1263.32,371.5,14.63,72.22
1335.71,380.69,13.11,76.09
1403.15,387.33,11.59,79.89
1465.61,392.51,10.35,83.27
1518.09,396.23,9.06,86.22
1569.35,398.85,8.02,88.97
1603.13,399.27,7.17,90.8
1633.16,399.68,6.49,91.02
1658.18,400.09,5.74,94.5
1680.7,400.49,5.08,96.14
